idOseba,Kratica,PostnaStevilka,Ulica,HisnaStevilka,Ime,Priimek,DatumRojstva
162,ID,48100,Jenifer,786,Perceval,Whorf,6/11/1989
163,PL,01732,Bultman,440,Cobb,McCullum,9/30/1984
164,ID,16818,Towne,23,Alanson,Mallabar,3/27/1984
165,MR,15000,David,2,Briggs,Fabler,7/13/1974
166,SE,25890,Tennyson,10,Obadias,Debow,5/26/1974
167,MR,54670,Stephen,2,Dode,Kitcat,8/21/1976
168,BO,96650,Twin Pines,677,Shara,Pietersen,10/11/1982
169,CN,87235,Melrose,70950,Barron,Fairbanks,8/27/1986
170,ID,74600,Briar Crest,23229,Salomon,Djurisic,3/23/1990
171,BO,90000,Fuller,38673,Georgeanna,Blunsum,6/7/1979
172,CH,75600,Roxbury,822,Yul,Pressman,12/29/1988
173,MR,79000,Merry,4,Dulcine,Gallaccio,4/21/1982
174,BO,91250,Red Cloud,85,Hirsch,Conyer,12/21/1976
175,CH,80000,Oakridge,074,Amalia,Belhomme,1/3/1986
176,JO,11390,Sherman,96547,Perry,Gooding,4/17/1978
177,MR,80000,Erie,7498,Bethanne,Giovanetti,3/20/1991
178,SE,77300,Carpenter,13864,Ofella,Haylock,11/19/1982
179,ID,43000,Logan,7757,Elyse,Scoggin,2/18/1983
180,CN,71000,Waywood,67,Brenden,Casbolt,12/27/1972
181,ID,42700,1st,75,Kyle,Cornewell,11/27/1979
182,PL,24317,Esker,509,Shannon,Mepsted,9/23/1992
183,BR,36570,Fuller,63,Laverna,Luna,9/30/1980
184,MR,08150,Maple Wood,6621,Aurthur,Leate,12/9/1981
185,CH,70000,Monterey,13263,Borden,Reinbeck,5/21/1991
186,ID,08200,Valley Edge,81257,Melli,Clubb,11/26/1991
187,CH,30000,Hintze,8,Netta,Weldon,4/13/1984
188,JO,47700,Duke,82,Philippine,Scurrah,9/25/1983
189,BO,91220,Boyd,49040,Clarita,Spawton,1/29/1973
190,ID,20530,Mariners Cove,62737,Rosetta,Rickhuss,6/24/1980
191,ID,81971,Ryan,4,Cicily,Rowling,1/26/1991
192,CN,53050,Russell,6131,Ofilia,Kundert,4/17/1992
193,MR,20000,Vera,67,Kerianne,Abotson,12/26/1982
194,SE,14150,Michigan,916,Harper,Barnardo,4/3/1983
195,ID,14849,Merrick,35,Gordon,Manderson,11/5/1976
196,JO,23910,Sachtjen,824,Kit,Stienham,3/30/1980
197,CN,10000,Monica,67,Austin,Hughesdon,1/25/1973
198,BR,52000,Cambridge,775,Dudley,Murtagh,8/8/1981
199,BR,10000,Chinook,4,Sydney,Viney,7/17/1985
200,PL,58000,Golf,7,Nikolaos,Callaby,7/30/1986
201,CN,46146,Merchant,3164,Tabor,Stebbing,6/9/1980
202,BR,49140,Northport,01186,Cindi,Bridgeland,8/20/1981
203,BO,69000,Vidon,16114,Olwen,Harome,12/19/1978
204,MR,04500,Mcbride,90380,Chery,Sainsberry,6/26/1985
205,BR,09600,8th,34173,Chevy,Gland,7/23/1979
206,JO,38814,Helena,74611,Sigrid,MacCorley,5/26/1975
207,CN,14400,Sloan,07,Wilden,Gasken,3/11/1991
208,BO,08098,Maple Wood,9,Ravid,Attwoul,12/19/1973
209,PL,50000,Graceland,7318,Temple,Wagen,3/23/1982
210,CN,40000,Lakewood Gardens,7,Wallace,Aliman,6/27/1983
211,ID,53320,Ruskin,3613,Eydie,Pinchbeck,7/17/1979
212,JO,72330,Buell,0411,Johann,Drakeley,6/15/1984
213,SE,78100,Lotheville,21294,Arin,Glaze,4/20/1992
214,SE,31000,Annamark,47793,Bellanca,Labbett,5/7/1984
215,ID,86000,Union,25823,Angie,Jeens,11/19/1981
216,CN,05600,Hudson,8195,Ravid,Ruddom,11/15/1992
217,BR,35061,Mesta,1012,Caril,Arnoud,3/18/1989
218,CN,00000,Oriole,82361,Devondra,MacFadzan,4/6/1988
219,CN,58030,Barby,699,Maxwell,Fenby,6/13/1984
220,BR,83000,Judy,73,Dougie,Prinne,11/23/1989
221,CH,90000,Clove,140,Cammie,Jerome,8/29/1982
222,CN,27000,Gulseth,95,Stafani,Gurney,3/5/1987
223,JO,00800,Rieder,86726,Cathlene,Fullager,8/19/1982
224,CN,01900,Sycamore,5717,Whittaker,Courson,11/22/1985
225,MR,95100,Main,837,Amandy,Vallantine,6/13/1986
226,CH,23000,Grasskamp,27417,Farrel,Blewett,5/15/1975
227,BO,20000,Northridge,41,Mattie,Cromblehome,4/1/1974
228,JO,41700,Granby,49953,Joana,Wilding,9/6/1979
229,MR,60000,Forest,22662,Germaine,Grob,8/2/1973
230,BO,69720,Dottie,48,Emmit,Wyd,11/12/1976
231,JO,56719,Hauk,1,Everard,Fidelus,7/12/1979
232,CH,10973,Texas,43326,Ginny,Stirtle,3/22/1978
233,MR,11000,Spohn,6,Noni,Fellenor,11/22/1991
234,CN,63000,Lukken,59852,Hans,Berendsen,8/23/1987
235,CN,03738,Hermina,43,Marney,Shelsher,11/29/1980
236,BO,80000,Hoepker,062,Rafaellle,MacKnockiter,5/30/1979
237,JO,29860,Lawn,0189,Tobiah,Neeve,9/7/1985
238,JO,63000,Moland,741,Stavros,Guilliland,11/21/1982
239,JO,53000,5th,934,Kaiser,Selvey,1/9/1989
240,MR,51000,Fisk,4,Jacynth,Grevel,12/8/1984
241,CH,35810,Little Fleur,756,Claire,Tapenden,1/30/1988
242,ID,80000,Pepper Wood,9,Izzy,Brocklebank,6/20/1986
243,PL,50000,Stang,1,Rodie,Bywaters,9/25/1979
244,BR,93800,Susan,764,Hermina,Wraith,2/18/1985
245,SE,10000,Dawn,37636,Devonne,Trippack,4/25/1989
246,ID,90000,Carberry,99218,Imogen,Dimmer,9/8/1989
247,BR,55264,Fulton,29,Tomaso,Grabham,11/16/1990
248,CN,40000,Jackson,0376,Kaja,Gisbye,3/19/1980
249,SE,56290,Sundown,78,Jan,Gerriessen,5/28/1990
250,SE,15500,Crownhardt,0,Janeczka,Medgewick,7/30/1985
251,CH,70000,Almo,4,Randee,Hulstrom,5/17/1989
252,BR,10000,Wayridge,224,Debera,Greaser,2/25/1978
253,CN,57000,Dahle,293,Avis,Thamelt,6/1/1986
254,JO,95000,Vidon,88,Ray,Collerd,1/25/1983
255,MR,30000,Crownhardt,41047,Arlena,Glassman,3/14/1980
256,JO,59900,Manitowish,27253,Chariot,Reef,3/9/1979
257,JO,40000,Fair Oaks,51474,Meridith,Loynes,2/13/1973
258,CN,12000,Mesta,72713,Boigie,Fincken,5/3/1984
259,PL,53000,Johnson,872,Nick,MacFie,2/7/1991
260,PL,97880,Lotheville,84915,Trixi,Simpkiss,12/31/1972
261,BO,23730,Debs,9832,Ker,Jozwicki,10/24/1978
262,ID,48100,Glacier Hill,4,Kendra,Beggio,4/12/1990
263,PL,01732,Kinsman,2,Kendricks,Tonks,2/3/1984
264,ID,16818,Prentice,0662,Shirline,Turton,8/2/1984
265,MR,15000,Mcbride,3387,Liz,Ganning,10/17/1984
266,SE,25890,Evergreen,6503,Alexei,Fuxman,9/27/1981
267,MR,54670,Lakeland,556,Jorie,Darinton,8/26/1977
268,BO,96650,Morrow,773,Emmit,Spohrmann,9/14/1991
269,CN,87235,Meadow Vale,7547,Matthieu,Bend,1/25/1973
270,ID,74600,Warbler,6622,Bamby,Priditt,12/25/1972
271,BO,90000,Blue Bill Park,009,Aleksandr,Fobidge,9/21/1976
272,CH,75600,Rigney,529,Anthia,Easthope,3/20/1976
273,MR,79000,Stuart,017,Keenan,Top,6/6/1992
274,BO,91250,Oak,92231,Perle,Tappin,1/29/1974
275,CH,80000,Mcguire,02,Far,Deering,6/17/1992
276,JO,11390,East,2072,Elmira,Whitehead,4/30/1977
277,MR,80000,Paget,66411,Torre,Gurry,4/30/1980
278,SE,77300,Dunning,0,Wilmette,Brou,3/30/1981
279,ID,43000,Morrow,723,Lanni,Roden,7/4/1991
280,CN,71000,Trailsway,7777,Emanuel,Pasticznyk,4/21/1973
281,ID,42700,Dayton,12,Moina,Tynewell,2/21/1992
282,PL,24317,Arizona,83237,Raffaello,Malling,7/17/1986
283,BR,36570,Bonner,5,Veronike,Smithend,5/16/1974
284,MR,08150,Huxley,30980,Salmon,Molyneux,12/3/1978
285,CH,70000,Kipling,214,Audrey,Gepheart,9/10/1986
286,ID,08200,Sycamore,50,Albina,Sleep,10/16/1976
287,CH,30000,Eggendart,277,Allen,Menego,3/11/1979
288,JO,47700,Rusk,51575,Lorette,Jansik,5/18/1981
289,BO,91220,Upham,1,Marquita,Lethebridge,9/28/1978
290,ID,20530,Hayes,389,Bliss,Kenchington,2/10/1976
291,ID,81971,Morrow,879,Sig,Brouwer,8/6/1990
292,CN,53050,Linden,6859,Idaline,Parsall,9/17/1983
293,MR,20000,Scoville,29083,Lurlene,Thying,8/25/1990
294,SE,14150,Brentwood,51916,Sheffield,Coleby,8/12/1984
295,ID,14849,New Castle,8,Hurleigh,Belhomme,10/27/1977
296,JO,23910,Melody,565,Marlena,Colley,6/25/1973
297,CN,10000,Grover,8922,Lenore,Lindfors,9/26/1991
298,BR,52000,Autumn Leaf,9830,Caryn,Murison,6/4/1990
299,BR,10000,Nova,1,Mabel,Hawthorn,5/14/1987
300,PL,58000,Leroy,657,Pace,Wybron,8/4/1976
301,CN,46146,Anzinger,9357,Sybila,Tupling,7/10/1985
302,BR,49140,Farragut,50,Jena,Baroc,10/19/1991
303,BO,69000,Pankratz,1,Derk,Cremen,5/28/1984
304,MR,04500,Alpine,97,Novelia,Akam,5/28/1987
305,BR,09600,East,22309,Lock,Brasse,9/25/1979
306,JO,38814,Moulton,6211,Sascha,Prynne,11/15/1986
307,CN,14400,Weeping Birch,308,Cecelia,Dwelley,11/1/1975
308,BO,08098,Dapin,6,Heidie,Olden,5/12/1978
309,PL,50000,Tomscot,5,Isaac,Pawlik,2/19/1992
310,CN,40000,Graedel,501,Letizia,Durham,8/3/1975
311,ID,53320,International,721,Penny,Knight,3/8/1976
312,JO,72330,Packers,1,Thelma,Elcoux,3/10/1986
313,SE,78100,Shasta,20383,Hirsch,Shackelton,7/31/1975
314,SE,31000,Laurel,6268,Pearla,Eastlake,9/3/1990
315,ID,86000,Bellgrove,391,Gabriell,Lamplugh,3/12/1992
316,CN,05600,Forest,46,Carlie,Downton,6/8/1977
317,BR,35061,Miller,82260,Justis,MacSherry,1/9/1980
318,CN,00000,Lerdahl,30,Rafael,Neem,11/1/1980
319,CN,58030,Morningstar,0813,Armin,Slayford,9/16/1990
320,BR,83000,Corscot,51037,Quincy,Iddison,4/30/1974
321,CH,90000,Eliot,94767,Bernelle,Dreinan,5/22/1986
322,CN,27000,Anniversary,940,Mercy,Cherm,6/24/1974
323,JO,00800,Claremont,5148,Fernando,Dominey,12/6/1982
324,CN,01900,Knutson,03906,Kay,Rapp,10/14/1981
325,MR,95100,Di Loreto,66207,Haskel,Bend,8/1/1990
326,CH,23000,Mitchell,878,Shaun,Fellis,5/13/1977
327,BO,20000,Haas,20401,Tallie,Losemann,2/19/1987
328,JO,41700,Macpherson,47,Dorothy,Piatkow,5/19/1981
329,MR,60000,Northridge,4,Ben,Birdis,10/18/1981
330,BO,69720,Ronald Regan,94719,Debor,Roads,5/2/1991
331,JO,56719,Hallows,497,Diannne,Santora,12/29/1981
332,CH,10973,Londonderry,449,Zachery,McGrane,12/6/1977
333,MR,11000,Ilene,47137,Verney,Stringman,7/28/1973
334,CN,63000,Carioca,7866,Quintana,Hatrey,3/12/1978
335,CN,03738,Hintze,90,Oona,Keatch,4/24/1981
336,BO,80000,Dorton,1,Baryram,Pentony,11/27/1974
337,JO,29860,Mifflin,97,Kalil,Willeman,6/16/1983
338,JO,63000,Prairie Rose,02,Shoshana,St Clair,4/16/1990
339,JO,53000,Canary,5184,Haroun,Rendbaek,8/26/1974
340,MR,51000,Linden,08,Sterling,Batcheldor,1/8/1984
341,CH,35810,Del Mar,94,Linnea,Boutellier,12/29/1977
342,ID,80000,Rutledge,13234,Windy,Mauditt,7/12/1989
343,PL,50000,Hansons,915,Bill,Thowes,12/15/1990
344,BR,93800,Darwin,9,Ernesto,Hehir,4/22/1979
345,SE,10000,Havey,4,Fayette,Jakaway,8/6/1992
346,ID,90000,Miller,33,Raymund,Edmondson,10/20/1989
347,BR,55264,Sommers,37,Nicolais,Culkin,4/9/1975
348,CN,40000,Carey,3844,Roselia,Locard,10/12/1974
349,SE,56290,Derek,2122,Natty,Jakeman,9/11/1979
350,SE,15500,Lien,49380,Kiah,Silvermann,11/18/1990
351,CH,70000,Anniversary,6757,Dudley,Nodes,12/29/1987
352,BR,10000,Pine View,37,Kimberlyn,Dunster,10/15/1991
353,CN,57000,Pawling,54351,Maxy,Ollerearnshaw,1/30/1984
354,JO,95000,Reindahl,74863,Kerianne,Shalcras,4/9/1983
355,MR,30000,Kropf,0,Madelle,Pinch,10/7/1984
356,JO,59900,Pleasure,452,Melantha,Matton,2/13/1976
357,JO,40000,Lerdahl,62823,Randal,Paul,4/22/1984
358,CN,12000,Forest,43927,Roxana,Neward,12/12/1981
359,PL,53000,Coolidge,9865,Krysta,Ludlamme,3/19/1989
360,PL,97880,Village,77,Owen,Powys,6/14/1986
361,BO,23730,Sutherland,143,Alister,Marchent,8/20/1985
362,ID,48100,Utah,57367,Shea,Grindrod,3/22/1987
363,PL,01732,High Crossing,28610,Lyssa,Woolner,9/18/1986
364,ID,16818,Cardinal,30231,Zollie,Shooter,2/20/1989
365,MR,15000,Lotheville,58175,Janine,Goodfield,12/4/1988
366,SE,25890,Russell,6,Jake,Coggeshall,3/17/1974
367,MR,54670,Glacier Hill,8,Luce,Jouannot,9/26/1991
368,BO,96650,Judy,47074,Carlota,Heamus,12/26/1986
369,CN,87235,Lien,09,Pansy,Hearons,12/14/1977
370,ID,74600,Nobel,6107,Oralia,Shore,7/26/1988
371,BO,90000,Thackeray,430,Andee,Kepp,9/13/1984
372,CH,75600,Stone Corner,651,Corinne,Ambrozewicz,12/26/1986
373,MR,79000,Center,02,Egan,Picott,7/19/1983
374,BO,91250,Autumn Leaf,347,Bella,Goshawke,10/8/1979
375,CH,80000,Oxford,8,Ulysses,Sansun,8/13/1977
376,JO,11390,Waywood,862,Ive,Floris,10/22/1984
377,MR,80000,Grover,3,Carroll,Keetley,6/24/1981
378,SE,77300,Valley Edge,16,Aeriel,Gayler,4/8/1982
379,ID,43000,Oak Valley,1,Nathanael,Wherton,7/15/1979
380,CN,71000,Fair Oaks,62914,Tammie,Verrico,5/26/1984
381,ID,42700,Manley,074,Patrick,Saint,6/30/1977
382,PL,24317,Fairfield,558,Devonna,Castellanos,3/23/1983
383,BR,36570,Starling,0035,Loise,Bamford,7/24/1986
384,MR,08150,Petterle,3032,Tammie,Wainscot,9/11/1985
385,CH,70000,Russell,1,Andres,Cruft,5/26/1982
386,ID,08200,Sunbrook,298,Jaimie,Chotty,7/5/1979
387,CH,30000,Ridge Oak,90,Lamar,Bolland,2/10/1985
388,JO,47700,Eagan,7,Karlyn,Spire,2/28/1975
389,BO,91220,Vidon,511,Remy,Matessian,7/29/1988
390,ID,20530,Elmside,225,Guntar,Matussevich,4/7/1974
391,ID,81971,Milwaukee,9597,Harcourt,Wetter,6/27/1979
392,CN,53050,Dixon,9689,Ichabod,Duck,9/19/1975
393,MR,20000,Esker,30,Leanor,McGloin,11/14/1979
394,SE,14150,Reinke,123,Jarrod,Knolles-Green,7/4/1979
395,ID,14849,David,0544,Stirling,Cornwall,8/2/1983
396,JO,23910,High Crossing,185,Shaylah,Grzelczak,6/10/1976
397,CN,10000,Burning Wood,5203,Lynnet,Peskett,6/27/1977
398,BR,52000,Dovetail,03496,Raynard,Pimbley,9/15/1985
399,BR,10000,Kings,739,Johny,Facchini,4/19/1989
400,PL,58000,Vernon,765,Cyndia,Yare,3/17/1974
401,CN,46146,Swallow,0160,Austina,Whylie,4/3/1973
402,BR,49140,Northland,3,Clair,Nucator,8/13/1985
403,BO,69000,Carey,792,Giustino,Frankis,4/8/1981
404,MR,04500,Walton,95,Herrick,Insley,6/14/1987
405,BR,09600,Aberg,991,Athena,Brame,2/7/1981
406,JO,38814,Daystar,64,Diarmid,Le Pine,9/20/1983
407,CN,14400,Bonner,7449,Carolann,Whitlock,11/15/1987
408,BO,08098,Tennessee,96547,Burgess,Genge,4/19/1981
409,PL,50000,Mayer,5011,Shana,Stripp,7/4/1979
410,CN,40000,Lotheville,440,Dorothee,Tripcony,6/5/1980
411,ID,53320,Cherokee,797,Berke,Hatrey,2/8/1974
412,JO,72330,Pepper Wood,95,Maddie,Scanlan,1/31/1979
413,SE,78100,Monica,2181,Hillier,Leppington,2/18/1977
414,SE,31000,Union,59,Luis,Miroy,3/28/1977
415,ID,86000,Service,045,Neils,Benninger,3/8/1975
416,CN,05600,Dexter,802,Melonie,Dilnot,5/24/1987
417,BR,35061,Westerfield,5,Walton,Phant,10/18/1982
418,CN,00000,Lakeland,60544,Roderic,Lamyman,11/16/1991
419,CN,58030,Northfield,8316,Daryl,Kilmurry,9/7/1980
420,BR,83000,Buena Vista,94,Gunner,Ubsdall,7/29/1979
421,CH,90000,Rockefeller,54780,Lombard,Olcot,4/14/1979
422,CN,27000,Monica,8,Tommie,Demelt,1/20/1976
